Rank,Title,Lifetime Gross,Year
172,Star Trek Into Darkness,"$228,778,661",2013
173,The Martian,"$228,433,663",2015
174,Signs,"$227,966,634",2002
175,Hancock,"$227,946,274",2008
176,The Bourne Ultimatum,"$227,471,070",2007
177,Logan,"$226,277,068",2017
178,Rush Hour 2,"$226,164,286",2001
179,The Fate of the Furious,"$226,008,385",2017
180,Shang-Chi and the Legend of the Ten Rings,"$224,543,292",2021
181,WALL·E,"$223,808,164",2008
182,Toy Story,"$223,225,679",1995
183,Big Hero 6,"$222,527,828",2014
184,Mission: Impossible - Fallout,"$220,159,104",2018
185,National Treasure: Book of Secrets,"$219,964,115",2007
186,Alvin and the Chipmunks: The Squeakquel,"$219,614,612",2009
187,Mrs. Doubtfire,"$219,195,243",1993
188,Beauty and the Beast,"$218,967,620",1991
189,Ted,"$218,815,487",2012
190,King Kong,"$218,080,025",2005
191,Ghost,"$217,631,306",1990
192,How to Train Your Dragon,"$217,581,231",2010
193,The Da Vinci Code,"$217,536,138",2006
194,Aladdin,"$217,350,219",1992
195,Alvin and the Chipmunks,"$217,326,974",2007
196,Saving Private Ryan,"$217,049,603",1998
197,Bohemian Rhapsody,"$216,668,042",2018
198,Ant-Man and the Wasp,"$216,648,740",2018
199,Madagascar 3: Europe's Most Wanted,"$216,391,482",2012
200,Kung Fu Panda,"$215,771,591",2008
